id_X,region,x,y
5-6-15-1998,10,0.693147181,3.184901167
5-6-15-1998,10,2.302585093,0.893103985
5-6-15-1998,10,3.63758616,0.776108701
5-6-11-1999,10,0,4.611101561
5-6-11-1999,10,0.693147181,4.630523068
5-6-11-1999,10,1.098612289,3.282008358
5-6-11-1999,10,1.386294361,3.126133146
5-6-11-1999,10,1.609437912,2.750183336
5-6-11-1999,10,1.791759469,2.489454625
5-6-11-1999,10,2.079441542,2.17170162
5-6-11-1999,10,2.302585093,2.155441473
5-9-4-1999,10,0.693147181,2.747777196
5-9-4-1999,10,2.302585093,1.72787851
5-9-4-1999,10,3.63758616,0.141933496
5-9-21-1999,10,0.693147181,2.525512621
5-9-21-1999,10,2.302585093,1.639074382
5-9-21-1999,10,3.63758616,1.01772756
5-10-8-1999,10,0.693147181,2.565710606
5-10-8-1999,10,2.302585093,0.621812283
5-10-8-1999,10,3.63758616,0.11680478
5-10-25-1999,10,0.693147181,2.397922545
5-10-25-1999,10,2.302585093,0.801732491
5-10-25-1999,10,3.63758616,-0.371208619
5-11-11-1999,10,0.693147181,2.670493702
5-11-11-1999,10,2.302585093,1.010327374
5-11-11-1999,10,3.63758616,-0.337012382
5-11-28-1999,10,0.693147181,2.090801769
5-11-28-1999,10,2.302585093,1.095373717
5-11-28-1999,10,3.63758616,-0.392006088
5-12-15-1999,10,0.693147181,1.917789883
5-12-15-1999,10,2.302585093,1.008796984
5-12-15-1999,10,3.63758616,-0.370484139
5-1-1-2000,10,0.693147181,2.180010597
5-1-1-2000,10,2.302585093,1.000006685
5-1-1-2000,10,3.63758616,-0.07192574
5-1-18-2000,10,0.693147181,1.923620718
5-1-18-2000,10,2.302585093,0.747067023
5-1-18-2000,10,3.63758616,0.094673614
5-2-4-2000,10,0.693147181,2.23561161
5-2-4-2000,10,2.302585093,1.325455654
5-2-4-2000,10,3.63758616,0.038643624
5-2-21-2000,10,0.693147181,2.652178019
5-2-21-2000,10,2.302585093,1.86641848
5-2-21-2000,10,3.63758616,0.886655927
5-3-9-2000,10,0.693147181,2.884929196
5-3-9-2000,10,2.302585093,1.883092052
5-3-9-2000,10,3.63758616,1.111199404
5-3-26-2000,10,0.693147181,3.214574588
5-3-26-2000,10,2.302585093,1.885067646
5-3-26-2000,10,3.63758616,1.432796195
5-4-12-2000,10,0.693147181,2.91410456
5-4-12-2000,10,2.302585093,2.451418806
5-4-12-2000,10,3.63758616,1.712012551
5-4-28-2000,10,0.693147181,2.648505413
5-4-28-2000,10,2.302585093,1.89701998
5-4-28-2000,10,3.63758616,1.191434528
5-5-16-2000,10,0.693147181,2.570105274
5-5-16-2000,10,2.302585093,1.783290374
5-5-16-2000,10,3.63758616,1.5264258
5-6-12-2000,10,0.693147181,3.013871754
5-6-12-2000,10,2.302585093,2.105499076
5-6-12-2000,10,3.63758616,1.272593607
5-6-29-2000,10,0.693147181,3.066745104
5-6-29-2000,10,2.302585093,2.053251559
5-6-29-2000,10,3.63758616,1.801198118
5-9-13-2000,10,0,4.19943104
5-9-13-2000,10,0.693147181,3.637372979
5-9-13-2000,10,1.098612289,3.668245531
5-9-13-2000,10,1.386294361,3.276068683
5-9-13-2000,10,1.609437912,3.177732946
5-9-13-2000,10,1.791759469,2.796177067
5-9-13-2000,10,2.079441542,2.598131163
5-9-13-2000,10,2.302585093,2.464576383
5-6-22-2001,10,0.693147181,3.506856853
5-6-22-2001,10,2.302585093,1.27712103
5-6-22-2001,10,3.63758616,0.682692723
5-7-9-2001,10,0.693147181,3.809221435
5-7-9-2001,10,2.302585093,1.803589221
5-7-9-2001,10,3.63758616,0.658814501
5-7-26-2001,10,0.693147181,3.837301614
5-7-26-2001,10,2.302585093,2.978555595
5-7-26-2001,10,3.63758616,1.815215545
5-8-12-2001,10,0.693147181,3.84779377
5-8-12-2001,10,2.302585093,2.474831061
5-8-12-2001,10,3.63758616,2.001858307
5-8-29-2001,10,0.693147181,3.493077443
5-8-29-2001,10,2.302585093,2.501206417
5-8-29-2001,10,3.63758616,1.281211585
5-9-15-2001,10,0.693147181,3.221436543
5-9-15-2001,10,2.302585093,2.504513179
5-9-15-2001,10,3.63758616,2.106752674
5-10-2-2001,10,0.693147181,1.593471119
5-10-2-2001,10,2.302585093,2.346381858
5-10-2-2001,10,3.63758616,2.088487999
5-10-19-2001,10,0.693147181,2.334170966
5-10-19-2001,10,2.302585093,1.522419263
5-10-19-2001,10,3.63758616,0.964509304
5-11-5-2001,10,0.693147181,2.359277287
5-11-5-2001,10,2.302585093,1.38654433
5-11-5-2001,10,3.63758616,1.001954535
5-12-9-2001,10,0.693147181,2.108939662
5-12-9-2001,10,2.302585093,0.556295998
5-12-9-2001,10,3.63758616,0.963937385
5-12-26-2001,10,0.693147181,2.119479229
5-12-26-2001,10,2.302585093,-0.046043939
5-12-26-2001,10,3.63758616,0.490112582
5-1-12-2002,10,0.693147181,1.898519006
5-1-12-2002,10,2.302585093,0.522180908
5-1-12-2002,10,3.63758616,-0.865360003
5-1-29-2002,10,0.693147181,1.81575265
5-1-29-2002,10,2.302585093,-0.220272676
5-1-29-2002,10,3.63758616,0.837593785
5-2-15-2002,10,0.693147181,1.648293174
5-2-15-2002,10,2.302585093,-0.342912933
5-2-15-2002,10,3.63758616,-0.115972176
5-3-4-2002,10,0.693147181,1.868118477
5-3-4-2002,10,2.302585093,0.404064127
5-3-4-2002,10,3.63758616,-0.478035801
5-3-21-2002,10,0.693147181,1.787031644
5-3-21-2002,10,2.302585093,1.271640799
5-3-21-2002,10,3.63758616,-0.007629027
5-4-7-2002,10,0.693147181,2.172465018
5-4-7-2002,10,2.302585093,1.267398206
5-4-7-2002,10,3.63758616,0.108046904
5-4-24-2002,10,0.693147181,2.050784832
5-4-24-2002,10,2.302585093,2.089292858
5-4-24-2002,10,3.63758616,-0.125223145
5-5-11-2002,10,0.693147181,2.766872415
5-5-11-2002,10,2.302585093,2.496942264
5-5-11-2002,10,3.63758616,-0.084469157
5-5-28-2002,10,0.693147181,2.705105871
5-5-28-2002,10,2.302585093,1.747232704
5-5-28-2002,10,3.63758616,-1.493879572
5-9-7-2002,10,0.693147181,2.211992767
5-9-7-2002,10,2.302585093,2.261596418
5-9-7-2002,10,3.610917913,0.806565148
5-9-7-2002,10,3.63758616,0.582997437
5-9-22-2002,10,0.693147181,2.397595228
5-9-22-2002,10,2.302585093,2.470461147
5-9-22-2002,10,3.610917913,0.878962627
5-9-22-2002,10,3.63758616,1.232589415
5-10-7-2002,10,0.693147181,1.529008463
5-10-7-2002,10,2.302585093,1.872371246
5-10-7-2002,10,3.610917913,1.076877797
5-10-7-2002,10,3.63758616,1.135040645
5-10-22-2002,10,0.693147181,0.116448813
5-10-22-2002,10,2.302585093,1.359770698
5-10-22-2002,10,3.610917913,1.099078846
5-10-22-2002,10,3.63758616,0.992621945
5-11-6-2002,10,0.693147181,1.125448943
5-11-6-2002,10,2.302585093,1.173534215
5-11-6-2002,10,3.610917913,0.94806068
5-11-6-2002,10,3.63758616,0.693747001
5-11-21-2002,10,0.693147181,0.27269533
5-11-21-2002,10,2.302585093,0.633609468
5-11-21-2002,10,3.610917913,0.581880368
5-11-21-2002,10,3.63758616,0.535966916
5-12-6-2002,10,0.693147181,-0.055301316
5-12-6-2002,10,2.302585093,0.511145573
5-12-6-2002,10,3.610917913,0.433274809
5-12-6-2002,10,3.63758616,0.41693244
5-12-21-2002,10,0.693147181,0.19004168
5-12-21-2002,10,2.302585093,0.322663041
5-12-21-2002,10,3.63758616,0.330957056
5-1-5-2003,10,0.693147181,0.570583988
5-1-5-2003,10,2.302585093,0.183820433
5-1-5-2003,10,3.63758616,0.274596833
5-1-20-2003,10,0.693147181,1.326411652
5-1-20-2003,10,2.302585093,1.466629334
5-1-20-2003,10,3.63758616,0.260285182
5-2-4-2003,10,0.693147181,1.834483653
5-2-4-2003,10,2.302585093,0.50675736
5-2-4-2003,10,3.63758616,-0.353537015
5-2-19-2003,10,0.693147181,1.995461928
5-2-19-2003,10,2.302585093,0.640062809
5-2-19-2003,10,3.63758616,-0.02040681
5-3-6-2003,10,0.693147181,1.465590636
5-3-6-2003,10,2.302585093,1.069663967
5-3-6-2003,10,3.63758616,-0.103362513
5-4-5-2003,10,0.693147181,1.605329484
5-4-5-2003,10,2.302585093,2.008052946
5-4-5-2003,10,3.63758616,0.360746643
5-4-20-2003,10,0.693147181,2.315501318
5-4-20-2003,10,2.302585093,1.787851844
5-4-20-2003,10,3.63758616,0.312691708
5-5-5-2003,10,0.693147181,2.634008893
5-5-5-2003,10,2.302585093,1.439479615
5-5-5-2003,10,3.63758616,0.360886065
5-5-20-2003,10,0.693147181,2.930265322
5-5-20-2003,10,2.302585093,1.999532158
5-5-20-2003,10,3.63758616,0.251692135
5-6-3-2003,10,0,3.781777636
5-6-3-2003,10,0.693147181,3.299555868
5-6-3-2003,10,1.098612289,2.986837835
5-6-3-2003,10,1.386294361,2.556063844
5-6-3-2003,10,1.609437912,2.514433089
5-6-3-2003,10,1.791759469,2.704831694
5-6-3-2003,10,2.079441542,2.322887595
5-6-3-2003,10,2.302585093,1.903077205
5-6-7-2004,10,-0.693147181,4.998082166
5-6-7-2004,10,0,3.740294741
5-6-7-2004,10,0.693147181,3.88346714
5-6-7-2004,10,1.098612289,3.161814348
5-6-7-2004,10,1.386294361,2.780922648
5-6-7-2004,10,1.609437912,2.994691732
5-6-7-2004,10,1.791759469,2.495648746
5-6-7-2004,10,2.079441542,1.787667776
5-6-7-2004,10,2.302585093,1.798254994
5-6-12-2004,10,0.693147181,3.008322681
5-6-12-2004,10,2.302585093,1.44898743
5-6-12-2004,10,3.63758616,0.515156233
5-6-29-2004,10,0.693147181,2.995972245
5-6-29-2004,10,2.302585093,1.55965926
5-6-29-2004,10,3.63758616,0.562696751
5-7-16-2004,10,0.693147181,3.266591126
5-7-16-2004,10,2.302585093,2.400963289
5-7-16-2004,10,3.63758616,1.090344874
5-8-2-2004,10,0.693147181,3.166541989
5-8-2-2004,10,2.302585093,3.094835252
5-8-2-2004,10,3.63758616,1.284123199
5-8-19-2004,10,0.693147181,3.008411551
5-8-19-2004,10,2.302585093,2.874614935
5-8-19-2004,10,3.63758616,2.092900561
5-9-5-2004,10,0.693147181,3.059429816
5-9-5-2004,10,2.302585093,2.202333726
5-9-5-2004,10,3.63758616,1.336263428
5-9-22-2004,10,0.693147181,2.945217623
5-9-22-2004,10,2.302585093,3.085522702
5-9-22-2004,10,3.63758616,2.500853815
5-10-9-2004,10,0.693147181,2.197935436
5-10-9-2004,10,2.302585093,1.882422504
5-10-9-2004,10,3.63758616,2.209164128
5-10-26-2004,10,0.693147181,2.247368322
5-10-26-2004,10,2.302585093,1.394064098
5-10-26-2004,10,3.63758616,1.204052801
5-11-12-2004,10,0.693147181,2.216471495
5-11-12-2004,10,2.302585093,1.281294891
5-11-12-2004,10,3.63758616,0.995730181
5-11-29-2004,10,0.693147181,0.855138471
5-11-29-2004,10,2.302585093,0.779416616
5-11-29-2004,10,3.63758616,0.524432627
5-12-16-2004,10,0.693147181,0.224502627
5-12-16-2004,10,2.302585093,0.719058562
5-12-16-2004,10,3.63758616,0.547716702
5-1-2-2005,10,0.693147181,1.74400377
5-1-2-2005,10,2.302585093,0.827765482
5-1-2-2005,10,3.63758616,0.12777737
5-1-19-2005,10,0.693147181,0.822507386
5-1-19-2005,10,2.302585093,0.851816209
5-1-19-2005,10,3.63758616,0.636365166
5-2-5-2005,10,0.693147181,0.133568892
5-2-5-2005,10,2.302585093,0.189131649
5-2-5-2005,10,3.63758616,0.058740495
5-2-22-2005,10,0.693147181,0.792902014
5-2-22-2005,10,2.302585093,0.611991354
5-2-22-2005,10,3.63758616,0.128129328
5-3-11-2005,10,0.693147181,1.137127625
5-3-11-2005,10,2.302585093,1.268748797
5-3-11-2005,10,3.63758616,0.195649017
5-3-28-2005,10,0.693147181,1.629279755
5-3-28-2005,10,2.302585093,1.836366292
5-3-28-2005,10,3.63758616,0.439415547
5-6-12-2005,10,0.693147181,2.79614044
5-6-12-2005,10,2.302585093,2.434095695
5-6-12-2005,10,3.63758616,1.630200863
